file_number,newValue,A_strain,C_strain,time,tech_rep,bio_rep
1,MEM/ACT t=0,WT_ACT,WT_MEM,0,1,1
2,MEM/ACT t=0,WT_ACT,WT_MEM,0,2,1
3,MEM/ACT t=0,WT_ACT,WT_MEM,0,3,1
4,ACT/ACT t=0,WT_ACT,WT_ACT,0,1,1
5,ACT/ACT t=0,WT_ACT,WT_ACT,0,2,1
6,ACT/ACT t=0,WT_ACT,WT_ACT,0,3,1
7,MEM/ACT t=3,WT_ACT,WT_MEM,3,1,1
8,MEM/ACT t=3,WT_ACT,WT_MEM,3,2,1
9,MEM/ACT t=3,WT_ACT,WT_MEM,3,3,1
10,ACT/ACT t=3,WT_ACT,WT_ACT,3,1,1
11,ACT/ACT t=3,WT_ACT,WT_ACT,3,2,1
12,ACT/ACT t=3,WT_ACT,WT_ACT,3,3,1
13,MEM/ACT t=0,WT_ACT,WT_MEM,0,1,2
14,MEM/ACT t=0,WT_ACT,WT_MEM,0,2,2
15,MEM/ACT t=0,WT_ACT,WT_MEM,0,3,2
16,ACT/ACT t=0,WT_ACT,WT_ACT,0,1,2
17,ACT/ACT t=0,WT_ACT,WT_ACT,0,2,2
18,ACT/ACT t=0,WT_ACT,WT_ACT,0,3,2
19,MEM/ACT t=3,WT_ACT,WT_MEM,3,1,2
20,MEM/ACT t=3,WT_ACT,WT_MEM,3,2,2
21,MEM/ACT t=3,WT_ACT,WT_MEM,3,3,2
22,ACT/ACT t=3,WT_ACT,WT_ACT,3,1,2
23,ACT/ACT t=3,WT_ACT,WT_ACT,3,2,2
24,ACT/ACT t=3,WT_ACT,WT_ACT,3,3,2
25,MEM/ACT t=0,WT_ACT,WT_MEM,0,1,3
26,MEM/ACT t=0,WT_ACT,WT_MEM,0,2,3
27,MEM/ACT t=0,WT_ACT,WT_MEM,0,3,3
28,ACT/ACT t=0,WT_ACT,WT_ACT,0,1,3
29,ACT/ACT t=0,WT_ACT,WT_ACT,0,2,3
30,ACT/ACT t=0,WT_ACT,WT_ACT,0,3,3
31,MEM/ACT t=3,WT_ACT,WT_MEM,3,1,3
32,MEM/ACT t=3,WT_ACT,WT_MEM,3,2,3
33,MEM/ACT t=3,WT_ACT,WT_MEM,3,3,3
34,ACT/ACT t=3,WT_ACT,WT_ACT,3,1,3
35,ACT/ACT t=3,WT_ACT,WT_ACT,3,2,3
36,ACT/ACT t=3,WT_ACT,WT_ACT,3,3,3